,Player Name,PtScored,ptsconceded,total off possession,total def possession,minutes,Eff,OffRtg,DefRtg,NetRtg
0,"BRAZDEIKIS,AUGUSTAS",879.0,875.0,1605,1421,459.40999999999997,24.030822141442286,54.76635514018692,61.57635467980296,-6.809999539616044
1,"CHRISTOPHER,NATHAN",85.0,72.0,147,108,42.870000000000005,54.58362491252624,57.82312925170068,66.66666666666666,-8.84353741496598
2,"CONSTANT,RAPHAEL",113.0,163.0,239,245,79.98,-4.50112528132033,47.28033472803347,66.53061224489795,-19.25027751686448
3,"DORSEY-HAVENS,AUBREY",618.0,576.0,1119,964,306.62,30.33070249820625,55.22788203753352,59.75103734439834,-4.5231553068648225
4,"KNIGHT,JACOB",101.0,93.0,170,175,52.44,-5.720823798627003,59.411764705882355,53.142857142857146,6.268907563025209
5,"LATIFF,WAZIR",444.0,473.0,782,700,222.47,22.115341394345304,56.77749360613811,67.57142857142857,-10.793934965290461
6,"MILON,EMANUEL",361.0,355.0,680,598,194.0,25.36082474226804,53.088235294117645,59.36454849498328,-6.276313200865637
7,"OKADO,MARJOK",684.0,674.0,1240,1103,368.47,22.308464732542674,55.16129032258065,61.106074342701724,-5.944784020121077
8,"RANDRIASALAMA,TO",350.0,366.0,681,606,192.0,23.4375,51.395007342143906,60.396039603960396,-9.00103226181649
9,"RILEY,BEN",236.0,220.0,432,396,123.1,17.546709991876526,54.629629629629626,55.55555555555556,-0.9259259259259309
10,"SERAPHIN,REGINALD JEAN",340.0,289.0,606,510,175.3,32.857957786651454,56.10561056105611,56.666666666666664,-0.5610561056105539
11,"SIMPSON,NOAH HOROBETZ",887.0,835.0,1598,1328,449.75,36.02001111728738,55.50688360450563,62.87650602409639,-7.369622419590762
12,"SMITH,DANIEL",575.0,568.0,1095,928,307.61,32.573713468352786,52.51141552511416,61.206896551724135,-8.695481026609976
13,"SPENCER,XAVIER",876.0,851.0,1613,1386,461.4,29.51885565669701,54.30874147551147,61.3997113997114,-7.090969924199932
14,"UGBAH,EMMANUEL",403.0,382.0,743,651,212.81,25.938630703444385,54.23956931359354,58.67895545314901,-4.439386139555467
