,,Lineup,PtScored,OffRtg,DefRtg,NetRtg,ptsconceded,global off possession,global def possession,efficiency,minutes,home/visitor,opponent
0,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'JEAN-SERAPHIN,R', 'RANDRIASALAMA,TO', 'RILEY,BEN')",0.0,0.000,200.000,-200.000,2.0,0.0,1.0,-4.285714285714286,0.23,Home,Harvard
1,,"('BRAZDEIKIS,AUGUSTAS', 'DOREY-HAVENS,AUBREY', 'JEAN-SERAPHIN,R', 'SMITH,DANIEL', 'SPENCER,XAVIER')",16.0,0.000,0.000,0.000,13.0,0.0,0.0,0.0,17.00,Home,Harvard
2,,"('BRAZDEIKIS,AUGUSTAS', 'JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SMITH,DANIEL')",3.0,60.000,60.000,0.000,3.0,4.0,1.0,1.0169491525423728,2.95,Home,Harvard
3,,"('BRAZDEIKIS,AUGUSTAS', 'JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'RANDRIASALAMA,TO', 'RILEY,BEN')",4.0,200.000,350.000,-150.000,7.0,2.0,0.0,0.975609756097561,2.05,Home,Harvard
4,,"('BRAZDEIKIS,AUGUSTAS', 'JEAN-SERAPHIN,R', 'OKADO,MARJOK', 'SPENCER,XAVIER', 'UGBAH,EMMANUEL')",0.0,0.000,50.000,-50.000,2.0,1.0,3.0,-0.8823529411764706,2.27,Home,Harvard
5,,"('BRAZDEIKIS,AUGUSTAS', 'JEAN-SERAPHIN,R', 'RANDRIASALAMA,TO', 'RILEY,BEN', 'SPENCER,XAVIER')",0.0,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.58,Home,Harvard
6,,"('CHRISTOPHER,NATHAN', 'JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SMITH,DANIEL')",4.0,400.000,500.000,-100.000,5.0,0.0,1.0,-0.11583011583011583,8.63,Home,Harvard
7,,"('JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'RILEY,BEN', 'UGBAH,EMMANUEL')",41.0,341.667,258.333,83.333,31.0,8.0,4.0,0.2191780821917808,18.25,Home,Harvard
8,,"('JEAN-SERAPHIN,R', 'LATIFF,WAZIR', 'OKADO,MARJOK', 'SMITH,DANIEL', 'UGBAH,EMMANUEL')",4.0,44.444,100.000,-55.556,9.0,4.0,5.0,-0.31413612565445026,3.18,Home,Harvard
