,Player Name,PtScored,ptsconceded,OffRtg,DefRtg,NetRtg,total off possession,total def possession,global efficiency,quarter2 last 5min efficiency,quarter4 last 5min efficiency,minutes,home/visitor,opponent,date,game_type
0,"LATIFF,WAZIR",37.0,40.0,160.870,173.913,-13.043,11,12,-0.051457975986277875,1.0714285714285714,0.0,19.43,Home,Harvard,,
1,"UGBAH,EMMANUEL",31.0,30.0,182.353,176.471,5.882,13,4,0.4918032786885246,-1.0714285714285714,0.6779661016949152,18.30,Home,Harvard,,
2,"OKADO,MARJOK",29.0,31.0,207.143,221.429,-14.286,9,5,0.23952095808383234,-2.142857142857143,-0.7317073170731707,16.70,Home,Harvard,,
3,"SIMPSON,NOAH",53.0,42.0,378.571,300.000,78.571,8,6,0.07054673721340388,Not in the time,Not in the time,28.35,Home,Harvard,,
4,"SMITH,DANIEL",43.0,40.0,537.500,500.000,37.500,5,3,0.09015777610818933,0.0,0.0,22.18,Home,Harvard,,
5,"SPENCER,XAVIER",34.0,30.0,161.905,142.857,19.048,10,11,-0.048740861088545896,0.0,-0.2830188679245283,20.52,Home,Harvard,,
6,"RILEY,BEN",16.0,15.0,0.000,0.000,0.000,0,0,0.0,0.0,Not in the time,7.63,Home,Harvard,,
7,"BRAZDEIKIS,AUGUSTAS",47.0,52.0,188.000,208.000,-20.000,17,8,0.31105990783410137,Not in the time,1.6901408450704225,28.93,Home,Harvard,,
8,"RANDRIASALAMA,TO",8.0,17.0,0.000,0.000,0.000,0,0,0.0,0.0,Not in the time,5.27,Home,Harvard,,
9,"DOREY-HAVENS,AUBREY",35.0,26.0,175.000,130.000,45.000,12,8,0.22813688212927757,-4.285714285714286,0.0,17.53,Home,Harvard,,
10,"CHRISTOPHER,NATHAN",9.0,7.0,900.000,700.000,200.000,1,0,0.24691358024691357,Not in the time,Not in the time,4.05,Home,Harvard,,
