,PtScored,ptsconceded,OffRtg,DefRtg,NetRtg,total off possession,total def possession,global efficiency,quarter2 last 5min efficiency,quarter4 last 5min efficiency,minutes,home/visitor,opponent,date,game_type
0,65.0,51.0,260.000,204.000,56.000,15,10,0.19169329073482427,Not in the time,0.0,26.08,Visitor,Guelph,,
1,51.0,47.0,340.000,313.333,26.667,15,0,0.6928406466512702,Not in the time,0.0,21.65,Visitor,Guelph,,
2,69.0,59.0,328.571,280.952,47.619,11,10,0.034904013961605584,0.0,0.4166666666666667,28.65,Visitor,Guelph,,
3,54.0,65.0,234.783,282.609,-47.826,15,8,0.2880658436213992,-0.43478260869565216,1.6666666666666667,24.30,Visitor,Guelph,,
4,49.0,36.0,204.167,150.000,54.167,15,9,0.30848329048843187,Not in the time,Not in the time,19.45,Visitor,Guelph,,
5,36.0,32.0,240.000,213.333,26.667,13,2,0.6646525679758308,-5.454545454545454,Not in the time,16.55,Visitor,Guelph,,
6,36.0,35.0,327.273,318.182,9.091,9,2,0.38817005545286504,0.0,0.5714285714285714,18.03,Visitor,Guelph,,
7,46.0,37.0,766.667,616.667,150.000,4,2,0.1014370245139476,0.0,0.0,19.72,Visitor,Guelph,,
8,6.0,9.0,300.000,450.000,-150.000,0,2,-0.47619047619047616,0.0,Not in the time,4.20,Visitor,Guelph,,
9,13.0,17.0,1300.000,1700.000,-400.000,1,0,0.12422360248447205,0.5555555555555556,Not in the time,8.05,Visitor,Guelph,,
10,14.0,19.0,280.000,380.000,-100.000,4,1,0.3481624758220503,0.0,Not in the time,8.62,Visitor,Guelph,,
11,2.0,8.0,100.000,400.000,-300.000,0,2,-0.6936416184971098,Not in the time,Not in the time,2.88,Visitor,Guelph,,
