,player,quarter1,quarter1,quarter1,quarter2,quarter2,quarter2,quarter3,quarter3,quarter3,quarter4,quarter4,quarter4,total,total,total
,player,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc,seconds,pts,ptc
0,"OKADO,MARJOK",264.0,13.0,8.0,376.0,15.0,5.0,258.0,6.0,4.0,352.0,8.0,3.0,1250.0,42.0,20.0
1,"SPENCER,XAVIER",428.0,18.0,10.0,600.0,27.0,10.0,379.0,8.0,11.0,405.0,15.0,4.0,1812.0,68.0,35.0
2,"BRAZDEIKIS,AUGUSTAS",393.0,10.0,13.0,387.0,16.0,8.0,228.0,4.0,6.0,248.0,13.0,11.0,1256.0,43.0,38.0
3,"SIMPSON,NOAH HOROBETZ",483.0,21.0,17.0,352.0,19.0,7.0,410.0,11.0,13.0,332.0,11.0,7.0,1577.0,62.0,44.0
4,"SMITH,DANIEL",393.0,10.0,13.0,343.0,22.0,8.0,329.0,9.0,11.0,338.0,13.0,11.0,1403.0,54.0,43.0
5,"DOREY-HAVENS,AUBREY",172.0,5.0,7.0,38.0,0.0,0.0,386.0,11.0,13.0,0.0,0.0,0.0,596.0,16.0,20.0
6,"KNIGHT,JACOB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,2.0,3.0,129.0,2.0,3.0
7,"RANDRIASALAMA,TO",323.0,15.0,6.0,379.0,16.0,2.0,271.0,6.0,6.0,510.0,21.0,14.0,1483.0,58.0,28.0
8,"LATIFF,WAZIR",220.0,8.0,7.0,153.0,9.0,5.0,177.0,5.0,6.0,66.0,4.0,7.0,616.0,26.0,25.0
9,"MILON,EMANUEL",117.0,2.0,0.0,248.0,8.0,3.0,190.0,4.0,4.0,268.0,10.0,7.0,823.0,24.0,14.0
10,"CONSTANT,RAPHAEL",0.0,0.0,0.0,0.0,0.0,0.0,291.0,9.0,9.0,0.0,0.0,0.0,291.0,9.0,9.0
11,"CHRISTOPHER,NATHAN",207.0,13.0,4.0,124.0,3.0,2.0,81.0,2.0,2.0,352.0,8.0,3.0,764.0,26.0,11.0
